brand,service tag,s/n monitor,s/n ups,color sticker,type
dell,105B8T3,1P31GJ3,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,115B8T3,1P41GJ3,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,125B8T3,1Q41GJ3,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,135B8T3,1R31GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,145B8T3,1R41GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,155B8T3,1S41GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,165B8T3,1T41GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,175B8T3,1V41GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,1W4B8T3,1Y21GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,1X4B8T3,2251GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,1Y4B8T3,2641GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,1Z4B8T3,2J31GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,205B8T3,2N41GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,215B8T3,2P41GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,225B8T3,2Q31GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,235B8T3,2T31GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,245B8T3,2V41GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,255B8T3,2W31GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,265B8T3,2X21GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,275B8T3,2X41GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,2W4B8T3,3041GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,2X4B8T3,3131GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,2Y4B8T3,3331GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,2Z4B8T3,3541GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,305B8T3,3831GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,315B8T3,3841GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,325B8T3,3B41GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,335B8T3,3G31GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,345B8T3,3L31GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,355B8T3,3M41GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,365B8T3,3N31GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,375B8T3,3V31GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,3W4B8T3,3Y31GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,3X4B8T3,3Y41GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
dell,3Y4B8T3,4131GJ3 ,2.21104E+14,แดง PC 191 เครื่อง,pc
